"date","max_cotinentname","max_countryname","min_cotinentname","min_countryname"
20200401,"Asia","Philippines","Europe","Belarus"
20200401,"South America","Argentina","Europe","Belarus"
20200401,"Asia","Sri Lanka","Europe","Belarus"
20200401,"Europe","Georgia","Europe","Belarus"
20200401,"Asia","Georgia","Europe","Belarus"
20200401,"Europe","Serbia","Europe","Belarus"
20200401,"North America","Honduras","Europe","Belarus"
20200401,"Asia","India","Europe","Belarus"
20200401,"Asia","Jordan","Europe","Belarus"
20210401,"Africa","Mauritius","Africa","Tanzania"
20220401,"Oceania","Vanuatu","Asia","Mongolia"
