"continent_code","two_letter_country_code"
"AF","EH "
"AF","GA "
"AF","ZW "
"AF","MW "
"AF","BJ "
"AF","SC "
"AF","MZ "
"AF","LS "
"AF","GM "
"AF","CM "
"AF","SS "
"AF","MU "
"AF","TN "
"AF","ML "
"AF","SZ "
"AF","SL "
"AF","KE "
"AF","EG "
"AF","NE "
"AF","CF "
"AF","GW "
"AF","LY "
"AF","ZA "
"AF","ER "
"AF","TG "
"AF","LR "
"AF","UG "
"AF","NG "
"AF","CG "
"AF","GH "
"AF","ZM "
"AF","AO "
"AF","BI "
"AF","SO "
"AF","CI "
"AF","CV "
"AF","RW "
"AF","TZ "
"AF","BW "
"AF","RE "
"AF","ST "
"AF","KM "
"AF","MA "
"AF","DJ "
"AF","SH "
"AF","CD "
"AF","ET "
"AF","MG "
"AF","MR "
"AF","DZ "
"AF","GQ "
"AF","SN "
"AF","TD "
"AF","YT "
"AF","NA "
"AF","BF "
"AF","SD "
"AF","GN "
"AN","GS "
"AN","HM "
"AN","BV "
"AN","AQ "
"AN","TF "
"AS","AZ "
"AS","SG "
"AS","JP "
"AS","KG "
"AS","IO "
"AS","BD "
"AS","IQ "
"AS","JO "
"AS","IL "
"AS","CY "
"AS","OM "
"AS","AF "
"AS","TL "
"AS","IR "
"AS","RU "
"AS","KZ "
"AS","CX "
"AS","TH "
"AS","LB "
"AS","IN "
"AS","KH "
"AS","BN "
"AS","XD "
"AS","SY "
"AS","QA "
"AS","TW "
"AS","XS "
"AS","MO "
"AS","XE "
"AS","LA "
"AS","GE "
"AS","MV "
"AS","CC "
"AS","MN "
"AS","PK "
"AS","YE "
"AS","TR "
"AS","ID "
"AS","MM "
"AS","UZ "
"AS","LK "
"AS","VN "
"AS","SA "
"AS","PH "
"AS","HK "
"AS","TJ "
"AS","BT "
"AS","NP "
"AS","CN "
"AS","KR "
"AS","PS "
"AS","MY "
"AS","AE "
"AS","KW "
"AS","TM "
"AS","BH "
"AS","KP "
"AS","AM "
"EU","FO "
"EU","EE "
"EU","RS "
"EU","AD "
"EU","DE "
"EU","AX "
"EU","NL "
"EU","LI "
"EU","NO "
"EU","KZ "
"EU","SE "
"EU","VA "
"EU","SI "
"EU","JE "
"EU","LT "
"EU","BG "
"EU","SK "
"EU","AM "
"EU","LU "
"EU","AZ "
"EU","ME "
"EU","LV "
"EU","AT "
"EU","FI "
"EU","ES "
"EU","GR "
"EU","DK "
"EU","RO "
"EU","GE "
"EU","GB "
"EU","IE "
"EU","IM "
"EU","SJ "
"EU","BE "
"EU","PT "
"EU","CY "
"EU","IS "
"EU","UA "
"EU","HU "
"EU","GG "
"EU","TR "
"EU","HR "
"EU","RU "
"EU","FR "
"EU","AL "
"EU","BY "
"EU","MK "
"EU","CH "
"EU","MC "
"EU","GI "
"EU","KS "
"EU","BA "
"EU","MT "
"EU","MD "
"EU","IT "
"EU","SM "
"EU","PL "
"EU","CZ "
"NA","BZ "
"NA","PA "
"NA","LC "
"NA","VI "
"NA","GL "
"NA","US "
"NA","HT "
"NA","DM "
"NA","GD "
"NA","CR "
"NA","UM "
"NA","KN "
"NA","CU "
"NA","PR "
"NA","BB "
"NA","AW "
"NA","PM "
"NA","DO "
"NA","KY "
"NA","AN "
"NA","SV "
"NA","AI "
"NA","SX "
"NA","BQ "
"NA","VG "
"NA","MS "
"NA","VC "
"NA","AG "
"NA","MF "
"NA","MQ "
"NA","HN "
"NA","BM "
"NA","MX "
"NA","JM "
"NA","GP "
"NA","TT "
"NA","GT "
"NA","CA "
"NA","CW "
"NA","BS "
"NA","BL "
"NA","NI "
"NA","TC "
"OC","GU "
"OC","NZ "
"OC","MP "
"OC","KI "
"OC","AU "
"OC","TK "
"OC","NR "
"OC","WF "
"OC","PW "
"OC","SB "
"OC","AS "
"OC","TO "
"OC","MH "
"OC","FM "
"OC","UM "
"OC","PF "
"OC","PN "
"OC","FJ "
"OC","XX "
"OC","NC "
"OC","PG "
"OC","CK "
"OC","NF "
"OC","TV "
"OC","VU "
"OC","WS "
"OC","NU "
"SA","EC "
"SA","CL "
"SA","FK "
"SA","BR "
"SA","UY "
"SA","GF "
"SA","AR "
"SA","CO "
"SA","PE "
"SA","GY "
"SA","PY "
"SA","VE "
"SA","SR "
"SA","BO "
